variable	coefficient
(Intercept)	9.138937857
patient_age_cleaned	0.000514341
patient_genderM	0
smoker_statusSmoker	0.217240797
chronic_conditions	0.118077754
has_previous_claims_cleanedTRUE	0
major_categoryObstetrics	0.116215704
major_categorySurgical	1.440859185
sub_categoryInfectious	-0.234147127
sub_categoryMaternity	0.006166978
sub_categoryOrthopedic	-0.298538088
sub_categoryRespiratory	0
hospital_typePrivate	1.215161399
admission_typeEmergency	0
patient_stateKedah	0
patient_stateKelantan	0
patient_stateKuala Lumpur	0.144373079
patient_stateLabuan	0
patient_stateMelaka	0
patient_stateNegeri Sembilan	0.001951225
patient_statePahang	0
patient_statePenang	0
patient_statePerak	0
patient_statePerlis	0
patient_statePutrajaya	0.149557454
patient_stateSabah	0
patient_stateSarawak	0
patient_stateSelangor	0.149736956
patient_stateTerengganu	0
regionEast Coast	-0.049359252
regionEast Malaysia	-0.083475862
regionNorthern	0
regionSouthern	0.0374053
plan_typeSilver	0
plan_typeGold	0
plan_typePlatinum	0
bmi_tierObese	0.02584515
bmi_tierOverweight	-0.001073647
bmi_tierUnderweight	0.008648951
los_tierShortStay	-0.368488178
los_tierStandardAdmit	-0.176423884
